 t x y vx vy
 0.000000100 1.000000000 0.000000050 -0.000000100 0.500000000
 0.002714100 0.999996317 0.001357048 -0.002714104 0.499998158
 0.005428100 0.999985268 0.002714037 -0.005428133 0.499992634
 0.008142100 0.999966853 0.004071005 -0.008142212 0.499983426
 0.010856100 0.999941072 0.005427943 -0.010856367 0.499970535
 0.013570100 0.999907925 0.006784842 -0.013570621 0.499953959
 0.016284100 0.999867411 0.008141690 -0.016285000 0.499933699
 0.018998100 0.999819530 0.009498479 -0.018999529 0.499909753
 0.021712100 0.999764282 0.010855197 -0.021714233 0.499882120
 0.024426100 0.999701665 0.012211835 -0.024429137 0.499850799
 0.027140100 0.999631681 0.013568384 -0.027144266 0.499815789
 0.029854100 0.999554326 0.014924832 -0.029859645 0.499777089
 0.032568100 0.999469602 0.016281170 -0.032575299 0.499734696
 0.035282100 0.999377508 0.017637389 -0.035291254 0.499688608
 0.037996100 0.999278042 0.018993477 -0.038007534 0.499638825
 0.040710100 0.999171203 0.020349425 -0.040724164 0.499585344
 0.043424100 0.999056991 0.021705223 -0.043441169 0.499528162
 0.046138100 0.998935404 0.023060860 -0.046158576 0.499467277
 0.048852100 0.998806442 0.024416328 -0.048876408 0.499402686
 0.051566100 0.998670103 0.025771615 -0.051594691 0.499334387
 0.054280100 0.998526386 0.027126712 -0.054313451 0.499262378
 0.056994100 0.998375289 0.028481608 -0.057032711 0.499186654
 0.059708100 0.998216812 0.029836293 -0.059752499 0.499107212
 0.062422100 0.998050952 0.031190758 -0.062472838 0.499024050
 0.065136100 0.997877709 0.032544992 -0.065193755 0.498937163
 0.067850100 0.997697080 0.033898986 -0.067915274 0.498846548
 0.070564100 0.997509065 0.035252728 -0.070637421 0.498752201
 0.073278100 0.997313660 0.036606209 -0.073360221 0.498654118
 0.075992100 0.997110865 0.037959419 -0.076083700 0.498552296
 0.078706100 0.996900677 0.039312348 -0.078807884 0.498446728
 0.081420100 0.996683095 0.040664985 -0.081532796 0.498337412
 0.084134100 0.996458117 0.042017320 -0.084258465 0.498224342
 0.086848100 0.996225740 0.043369343 -0.086984913 0.498107513
 0.089562100 0.995985962 0.044721044 -0.089712169 0.497986921
 0.092276100 0.995738782 0.046072413 -0.092440256 0.497862560
 0.094990100 0.995484196 0.047423439 -0.095169201 0.497734425
 0.097704100 0.995222203 0.048774112 -0.097899029 0.497602510
 0.100418100 0.994952800 0.050124422 -0.100629767 0.497466811
 0.103132100 0.994675984 0.051474358 -0.103361439 0.497327320
 0.105846100 0.994391753 0.052823911 -0.106094072 0.497184032
 0.108560100 0.994100105 0.054173070 -0.108827692 0.497036941
 0.111274100 0.993801036 0.055521824 -0.111562325 0.496886040
 0.113988100 0.993494544 0.056870164 -0.114297997 0.496731324
 0.116702100 0.993180626 0.058218078 -0.117034733 0.496572784
 0.119416100 0.992859279 0.059565557 -0.119772560 0.496410415
 0.122130100 0.992530500 0.060912591 -0.122511505 0.496244209
 0.124844100 0.992194285 0.062259167 -0.125251592 0.496074160
 0.127558100 0.991850633 0.063605278 -0.127992849 0.495900259
 0.130272100 0.991499539 0.064950911 -0.130735302 0.495722499
 0.132986100 0.991141001 0.066296056 -0.133478978 0.495540873
 0.135700100 0.990775015 0.067640703 -0.136223902 0.495355372
 0.138414100 0.990401577 0.068984841 -0.138970101 0.495165989
 0.141128100 0.990020684 0.070328460 -0.141717603 0.494972715
 0.143842100 0.989632333 0.071671550 -0.144466432 0.494775542
 0.146556100 0.989236519 0.073014099 -0.147216618 0.494574461
 0.149270100 0.988833240 0.074356096 -0.149968185 0.494369464
 0.151984100 0.988422491 0.075697533 -0.152721161 0.494160541
 0.154698100 0.988004269 0.077038396 -0.155475573 0.493947683
 0.157412100 0.987578569 0.078378677 -0.158231447 0.493730881
 0.160126100 0.987145387 0.079718364 -0.160988812 0.493510125
 0.162840100 0.986704720 0.081057446 -0.163747694 0.493285406
 0.165554100 0.986256564 0.082395914 -0.166508120 0.493056713
 0.168268100 0.985800913 0.083733755 -0.169270117 0.492824037
 0.170982100 0.985337764 0.085070959 -0.172033714 0.492587368
 0.173696100 0.984867113 0.086407515 -0.174798937 0.492346694
 0.176410100 0.984388954 0.087743413 -0.177565814 0.492102005
 0.179124100 0.983903284 0.089078641 -0.180334373 0.491853291
 0.181838100 0.983410098 0.090413189 -0.183104641 0.491600539
 0.184552100 0.982909391 0.091747045 -0.185876646 0.491343740
 0.187266100 0.982401158 0.093080199 -0.188650417 0.491082881
 0.189980100 0.981885395 0.094412640 -0.191425980 0.490817951
 0.192694100 0.981362097 0.095744355 -0.194203365 0.490548937
 0.195408100 0.980831258 0.097075336 -0.196982599 0.490275829
 0.198122100 0.980292874 0.098405569 -0.199763711 0.489998613
 0.200836100 0.979746939 0.099735044 -0.202546728 0.489717277
 0.203550100 0.979193449 0.101063751 -0.205331681 0.489431809
 0.206264100 0.978632397 0.102391677 -0.208118596 0.489142195
 0.208978100 0.978063779 0.103718811 -0.210907502 0.488848422
 0.211692100 0.977487590 0.105045142 -0.213698430 0.488550478
 0.214406100 0.976903823 0.106370659 -0.216491407 0.488248348
 0.217120100 0.976312473 0.107695350 -0.219286462 0.487942019
 0.219834100 0.975713534 0.109019204 -0.222083624 0.487631476
 0.222548100 0.975107001 0.110342210 -0.224882923 0.487316707
 0.225262100 0.974492868 0.111664356 -0.227684389 0.486997695
 0.227976100 0.973871129 0.112985630 -0.230488049 0.486674428
 0.230690100 0.973241777 0.114306021 -0.233293935 0.486346889
 0.233404100 0.972604807 0.115625517 -0.236102075 0.486015064
 0.236118100 0.971960213 0.116944107 -0.238912500 0.485678937
 0.238832100 0.971307989 0.118261778 -0.241725239 0.485338493
 0.241546100 0.970648127 0.119578520 -0.244540322 0.484993717
 0.244260100 0.969980622 0.120894320 -0.247357780 0.484644591
 0.246974100 0.969305467 0.122209167 -0.250177643 0.484291101
 0.249688100 0.968622656 0.123523048 -0.252999941 0.483933228
 0.252402100 0.967932181 0.124835953 -0.255824704 0.483570958
 0.255116100 0.967234037 0.126147868 -0.258651965 0.483204273
 0.257830100 0.966528216 0.127458781 -0.261481752 0.482833155
 0.260544100 0.965814712 0.128768682 -0.264314098 0.482457587
 0.263258100 0.965093517 0.130077557 -0.267149033 0.482077552
 0.265972100 0.964364625 0.131385395 -0.269986588 0.481693031
 0.268686100 0.963628028 0.132692183 -0.272826795 0.481304007
 0.271400100 0.962883719 0.133997909 -0.275669686 0.480910460
 0.274114100 0.962131691 0.135302561 -0.278515292 0.480512373
 0.276828100 0.961371936 0.136606126 -0.281363645 0.480109726
 0.279542100 0.960604447 0.137908592 -0.284214776 0.479702500
 0.282256100 0.959829216 0.139209947 -0.287068718 0.479290676
 0.284970100 0.959046236 0.140510178 -0.289925504 0.478874233
 0.287684100 0.958255498 0.141809272 -0.292785165 0.478453152
 0.290398100 0.957456995 0.143107218 -0.295647734 0.478027413
 0.293112100 0.956650720 0.144404001 -0.298513244 0.477596994
 0.295826100 0.955836663 0.145699610 -0.301381728 0.477161876
 0.298540100 0.955014817 0.146994031 -0.304253219 0.476722036
 0.301254100 0.954185174 0.148287253 -0.307127750 0.476277454
 0.303968100 0.953347725 0.149579261 -0.310005355 0.475828107
 0.306682100 0.952502462 0.150870043 -0.312886066 0.475373975
 0.309396100 0.951649377 0.152159587 -0.315769918 0.474915033
 0.312110100 0.950788461 0.153447878 -0.318656946 0.474451261
 0.314824100 0.949919705 0.154734904 -0.321547182 0.473982634
 0.317538100 0.949043100 0.156020651 -0.324440661 0.473509131
 0.320252100 0.948158638 0.157305107 -0.327337417 0.473030726
 0.322966100 0.947266310 0.158588258 -0.330237486 0.472547397
 0.325680100 0.946366106 0.159870090 -0.333140902 0.472059120
 0.328394100 0.945458018 0.161150590 -0.336047701 0.471565869
 0.331108100 0.944542037 0.162429745 -0.338957916 0.471067620
 0.333822100 0.943618152 0.163707541 -0.341871584 0.470564349
 0.336536100 0.942686355 0.164983964 -0.344788741 0.470056029
 0.339250100 0.941746636 0.166259000 -0.347709422 0.469542635
 0.341964100 0.940798985 0.167532637 -0.350633663 0.469024141
 0.344678100 0.939843393 0.168804859 -0.353561501 0.468500520
 0.347392100 0.938879850 0.170075653 -0.356492972 0.467971747
 0.350106100 0.937908346 0.171345005 -0.359428112 0.467437792
 0.352820100 0.936928871 0.172612900 -0.362366959 0.466898630
 0.355534100 0.935941415 0.173879326 -0.365309549 0.466354233
 0.358248100 0.934945968 0.175144267 -0.368255920 0.465804571
 0.360962100 0.933942519 0.176407708 -0.371206109 0.465249618
 0.363676100 0.932931058 0.177669637 -0.374160155 0.464689343
 0.366390100 0.931911575 0.178930037 -0.377118094 0.464123718
 0.369104100 0.930884058 0.180188895 -0.380079966 0.463552713
 0.371818100 0.929848497 0.181446197 -0.383045809 0.462976298
 0.374532100 0.928804882 0.182701926 -0.386015661 0.462394442
 0.377246100 0.927753201 0.183956069 -0.388989562 0.461807115
 0.379960100 0.926693443 0.185208610 -0.391967549 0.461214286
 0.382674100 0.925625598 0.186459535 -0.394949664 0.460615924
 0.385388100 0.924549653 0.187708828 -0.397935946 0.460011995
 0.388102100 0.923465598 0.188956475 -0.400926434 0.459402468
 0.390816100 0.922373421 0.190202460 -0.403921169 0.458787310
 0.393530100 0.921273110 0.191446767 -0.406920190 0.458166489
 0.396244100 0.920164654 0.192689382 -0.409923540 0.457539969
 0.398958100 0.919048041 0.193930289 -0.412931258 0.456907717
 0.401672100 0.917923260 0.195169472 -0.415943387 0.456269700
 0.404386100 0.916790297 0.196406916 -0.418959967 0.455625881
 0.407100100 0.915649141 0.197642604 -0.421981040 0.454976225
 0.409814100 0.914499780 0.198876522 -0.425006648 0.454320698
 0.412528100 0.913342201 0.200108652 -0.428036834 0.453659261
 0.415242100 0.912176392 0.201338979 -0.431071641 0.452991879
 0.417956100 0.911002340 0.202567487 -0.434111110 0.452318515
 0.420670100 0.909820033 0.203794158 -0.437155286 0.451639131
 0.423384100 0.908629458 0.205018978 -0.440204212 0.450953688
 0.426098100 0.907430601 0.206241930 -0.443257931 0.450262148
 0.428812100 0.906223449 0.207462996 -0.446316489 0.449564473
 0.431526100 0.905007991 0.208682160 -0.449379928 0.448860621
 0.434240100 0.903784211 0.209899406 -0.452448295 0.448150554
 0.436954100 0.902552097 0.211114716 -0.455521633 0.447434231
 0.439668100 0.901311635 0.212328073 -0.458599989 0.446711610
 0.442382100 0.900062812 0.213539461 -0.461683408 0.445982650
 0.445096100 0.898805614 0.214748861 -0.464771936 0.445247308
 0.447810100 0.897540026 0.215956257 -0.467865619 0.444505543
 0.450524100 0.896266035 0.217161631 -0.470964504 0.443757310
 0.453238100 0.894983626 0.218364966 -0.474068639 0.443002565
 0.455952100 0.893692786 0.219566244 -0.477178070 0.442241266
 0.458666100 0.892393499 0.220765446 -0.480292845 0.441473365
 0.461380100 0.891085751 0.221962555 -0.483413012 0.440698818
 0.464094100 0.889769528 0.223157553 -0.486538621 0.439917580
 0.466808100 0.888444815 0.224350422 -0.489669718 0.439129602
 0.469522100 0.887111596 0.225541142 -0.492806355 0.438334837
 0.472236100 0.885769857 0.226729697 -0.495948579 0.437533239
 0.474950100 0.884419583 0.227916067 -0.499096442 0.436724758
