 t x y vx vy
 0.200000000 0.979915940 0.099325569 -0.201689211 0.489804358
 0.300000000 0.954673061 0.147921829 -0.305209825 0.476735622
 0.400000000 0.918976100 0.194941961 -0.412759468 0.457323688
 0.500000000 0.872322725 0.239703743 -0.526084940 0.430256541
 0.600000000 0.814048014 0.281376053 -0.647394591 0.393449451
 0.700000000 0.743243133 0.318880662 -0.779587871 0.343582260
 0.800000000 0.658674748 0.350745553 -0.926633084 0.275182110
 0.900000000 0.558659252 0.374843791 -1.094137022 0.178717900
 1.000000000 0.440870437 0.387892419 -1.290090011 0.036265606
 1.100000000 0.302063884 0.384396436 -1.524942849 -0.189525475
 1.200000000 0.137827075 0.354154447 -1.803859232 -0.587218728
 1.300000000 -0.056504528 0.275548111 -2.051283601 -1.390636459
 1.400000000 -0.274003983 0.096313980 -1.544879108 -2.925215896
 1.500000000 -0.403171922 -0.272935814 0.005755766 -2.895828765
 1.600000000 -0.325065377 -0.561049349 -0.029420001 -2.344527332
 1.700000000 -0.329766148 -0.767937286 -0.025236426 -2.154079687
 1.800000000 -0.332080614 -0.973822968 -0.000117395 -2.059648220
 1.900000000 -0.330836415 -1.175066264 0.017370304 -1.991312404
 2.000000000 -0.328225008 -1.370780747 0.029404630 -1.939127843
 2.100000000 -0.324682835 -1.562084330 0.037892671 -1.898000039
 2.200000000 -0.320469170 -1.749827964 0.044024185 -1.864780792
 2.300000000 -0.315760179 -1.934645098 0.048565786 -1.837388118
 2.400000000 -0.310676522 -2.117014289 0.052007592 -1.814402657
 2.500000000 -0.305303674 -2.297305294 0.054668729 -1.794828613
 2.600000000 -0.299703746 -2.475809462 0.056762287 -1.777948746
 2.700000000 -0.293922840 -2.652760352 0.058434242 -1.763234079
 2.800000000 -0.287995819 -2.828348034 0.059787018 -1.750286188
