 t x y vx vy
 0.100000000 0.994994774 0.049916431 -0.100209047 0.497487959
 0.200000000 1.094494251 0.054908074 -0.110229952 0.547236755
 0.300000000 1.083471256 0.109631750 -0.193393987 0.543064620
 0.400000000 1.064131857 0.163938212 -0.277287681 0.534575782
 0.500000000 1.036403089 0.217395790 -0.362544371 0.521441292
 0.600000000 1.000148652 0.269539919 -0.449819872 0.503134393
 0.700000000 0.955166665 0.319853358 -0.539810209 0.478882010
 0.800000000 0.901185644 0.367741559 -0.633265753 0.447586875
 0.900000000 0.837859068 0.412500247 -0.730997401 0.407706093
 1.000000000 0.764759328 0.453270856 -0.833863800 0.357062236
