 t x y vx vy
 0.001000000 0.999999500 0.000500000 -0.001000000 0.499999750
 0.002000000 0.999998000 0.000999999 -0.002000002 0.499999000
 0.003000000 0.999995500 0.001499998 -0.003000006 0.499997750
 0.004000000 0.999992000 0.001999995 -0.004000013 0.499996000
 0.005000000 0.999987500 0.002499990 -0.005000026 0.499993750
 0.006000000 0.999982000 0.002999982 -0.006000045 0.499991000
 0.007000000 0.999975500 0.003499971 -0.007000071 0.499987750
 0.008000000 0.999968000 0.003999957 -0.008000107 0.499984000
 0.009000000 0.999959500 0.004499939 -0.009000152 0.499979749
 0.010000000 0.999949999 0.004999917 -0.010000208 0.499974999
 0.011000000 0.999939499 0.005499889 -0.011000277 0.499969748
 0.012000000 0.999927999 0.005999856 -0.012000360 0.499963998
 0.013000000 0.999915499 0.006499817 -0.013000458 0.499957747
 0.014000000 0.999901998 0.006999771 -0.014000572 0.499950995
 0.015000000 0.999887497 0.007499719 -0.015000703 0.499943744
 0.016000000 0.999871997 0.007999659 -0.016000853 0.499935992
 0.017000000 0.999855496 0.008499591 -0.017001024 0.499927740
 0.018000000 0.999837995 0.008999514 -0.018001215 0.499918987
 0.019000000 0.999819493 0.009499428 -0.019001429 0.499909734
 0.020000000 0.999799992 0.009999333 -0.020001667 0.499899981
 0.021000000 0.999779490 0.010499228 -0.021001930 0.499889727
 0.022000000 0.999757988 0.010999113 -0.022002219 0.499878972
 0.023000000 0.999735485 0.011498986 -0.023002535 0.499867716
 0.024000000 0.999711983 0.011998848 -0.024002881 0.499855960
 0.025000000 0.999687480 0.012498698 -0.025003256 0.499843703
 0.026000000 0.999661976 0.012998535 -0.026003662 0.499830945
 0.027000000 0.999635472 0.013498359 -0.027004102 0.499817686
 0.028000000 0.999607968 0.013998170 -0.028004575 0.499803926
 0.029000000 0.999579463 0.014497967 -0.029005082 0.499789665
 0.030000000 0.999549958 0.014997749 -0.030005627 0.499774903
 0.031000000 0.999519452 0.015497517 -0.031006208 0.499759639
 0.032000000 0.999487945 0.015997269 -0.032006829 0.499743874
 0.033000000 0.999455438 0.016497004 -0.033007490 0.499727608
 0.034000000 0.999421930 0.016996724 -0.034008191 0.499710840
 0.035000000 0.999387422 0.017496426 -0.035008936 0.499693570
 0.036000000 0.999351912 0.017996111 -0.036009724 0.499675799
 0.037000000 0.999315402 0.018495777 -0.037010558 0.499657525
 0.038000000 0.999277891 0.018995425 -0.038011437 0.499638750
 0.039000000 0.999239379 0.019495055 -0.039012364 0.499619473
 0.040000000 0.999199867 0.019994664 -0.040013340 0.499599693
 0.041000000 0.999159353 0.020494254 -0.041014367 0.499579411
 0.042000000 0.999117838 0.020993823 -0.042015444 0.499558627
 0.043000000 0.999075322 0.021493371 -0.043016574 0.499537340
 0.044000000 0.999031805 0.021992897 -0.044017758 0.499515551
 0.045000000 0.998987286 0.022492402 -0.045018997 0.499493258
 0.046000000 0.998941767 0.022991884 -0.046020293 0.499470463
 0.047000000 0.998895246 0.023491343 -0.047021646 0.499447165
 0.048000000 0.998847723 0.023990778 -0.048023058 0.499423363
 0.049000000 0.998799200 0.024490189 -0.049024530 0.499399059
 0.050000000 0.998749674 0.024989576 -0.050026063 0.499374250
 0.051000000 0.998699147 0.025488937 -0.051027660 0.499348939
 0.052000000 0.998647619 0.025988274 -0.052029320 0.499323123
 0.053000000 0.998595089 0.026487584 -0.053031045 0.499296803
 0.054000000 0.998541557 0.026986867 -0.054032837 0.499269980
 0.055000000 0.998487023 0.027486123 -0.055034696 0.499242652
 0.056000000 0.998431487 0.027985352 -0.056036625 0.499214820
 0.057000000 0.998374950 0.028484553 -0.057038624 0.499186483
 0.058000000 0.998317410 0.028983725 -0.058040694 0.499157642
 0.059000000 0.998258868 0.029482868 -0.059042837 0.499128296
 0.060000000 0.998199324 0.029981981 -0.060045054 0.499098445
 0.061000000 0.998138778 0.030481065 -0.061047346 0.499068088
 0.062000000 0.998077230 0.030980117 -0.062049715 0.499037226
 0.063000000 0.998014679 0.031479139 -0.063052162 0.499005859
 0.064000000 0.997951125 0.031978129 -0.064054688 0.498973986
 0.065000000 0.997886569 0.032477087 -0.065057294 0.498941607
 0.066000000 0.997821011 0.032976012 -0.066059982 0.498908722
 0.067000000 0.997754449 0.033474904 -0.067062753 0.498875331
 0.068000000 0.997686885 0.033973762 -0.068065608 0.498841433
 0.069000000 0.997618318 0.034472587 -0.069068548 0.498807028
 0.070000000 0.997548748 0.034971376 -0.070071575 0.498772117
 0.071000000 0.997478175 0.035470131 -0.071074690 0.498736698
 0.072000000 0.997406599 0.035968850 -0.072077894 0.498700772
 0.073000000 0.997334019 0.036467532 -0.073081189 0.498664339
 0.074000000 0.997260436 0.036966178 -0.074084576 0.498627398
 0.075000000 0.997185850 0.037464787 -0.075088055 0.498589949
 0.076000000 0.997110260 0.037963358 -0.076091629 0.498551992
 0.077000000 0.997033667 0.038461891 -0.077095299 0.498513526
 0.078000000 0.996956070 0.038960385 -0.078099065 0.498474552
 0.079000000 0.996877469 0.039458840 -0.079102930 0.498435069
 0.080000000 0.996797864 0.039957255 -0.080106894 0.498395077
 0.081000000 0.996717255 0.040455630 -0.081110959 0.498354576
 0.082000000 0.996635642 0.040953964 -0.082115126 0.498313566
 0.083000000 0.996553024 0.041452256 -0.083119396 0.498272045
 0.084000000 0.996469403 0.041950508 -0.084123770 0.498230015
 0.085000000 0.996384777 0.042448716 -0.085128251 0.498187474
 0.086000000 0.996299146 0.042946882 -0.086132838 0.498144423
 0.087000000 0.996212511 0.043445005 -0.087137534 0.498100861
 0.088000000 0.996124871 0.043943084 -0.088142340 0.498056788
 0.089000000 0.996036226 0.044441118 -0.089147256 0.498012204
 0.090000000 0.995946577 0.044939108 -0.090152285 0.497967108
 0.091000000 0.995855922 0.045437052 -0.091157428 0.497921501
 0.092000000 0.995764262 0.045934951 -0.092162685 0.497875381
 0.093000000 0.995671596 0.046432803 -0.093168058 0.497828750
 0.094000000 0.995577926 0.046930608 -0.094173548 0.497781605
 0.095000000 0.995483249 0.047428366 -0.095179158 0.497733948
 0.096000000 0.995387567 0.047926076 -0.096184887 0.497685778
 0.097000000 0.995290879 0.048423737 -0.097190737 0.497637094
 0.098000000 0.995193186 0.048921350 -0.098196710 0.497587897
 0.099000000 0.995094486 0.049418913 -0.099202807 0.497538186
 0.100000000 0.994994780 0.049916426 -0.100209029 0.497487960
 0.101000000 0.994894068 0.050413889 -0.101215377 0.497437220
 0.102000000 0.994792349 0.050911300 -0.102221853 0.497385965
 0.103000000 0.994689624 0.051408661 -0.103228458 0.497334195
 0.104000000 0.994585892 0.051905969 -0.104235193 0.497281909
 0.105000000 0.994481154 0.052403224 -0.105242060 0.497229108
 0.106000000 0.994375408 0.052900427 -0.106249059 0.497175790
 0.107000000 0.994268656 0.053397576 -0.107256193 0.497121956
 0.108000000 0.994160896 0.053894670 -0.108263462 0.497067606
 0.109000000 0.994052129 0.054391711 -0.109270868 0.497012738
 0.110000000 0.993942354 0.054888696 -0.110278412 0.496957354
 0.111000000 0.993831572 0.055385625 -0.111286096 0.496901451
 0.112000000 0.993719782 0.055882499 -0.112293920 0.496845030
 0.113000000 0.993606984 0.056379315 -0.113301886 0.496788092
 0.114000000 0.993493178 0.056876075 -0.114309995 0.496730634
 0.115000000 0.993378364 0.057372776 -0.115318249 0.496672658
 0.116000000 0.993262541 0.057869420 -0.116326649 0.496614162
 0.117000000 0.993145710 0.058366004 -0.117335196 0.496555146
 0.118000000 0.993027871 0.058862530 -0.118343891 0.496495611
